"gen","n.trials","n.bar","n.var","g.bar","g.var","w.bar","w.var","p.bar","v.bar","v.var","p.fixp","p.fixn"
1,1000,20,0,0.00101,0.0252677476476477,0.817735870287969,0.00694598346428685,0.500101,0.48763165,1.23525483258258e-05,0,0
2,1000,16.125,30.9643393393393,0.147784923853301,0.0751597087385496,0.893969899598231,0.0224112780226973,0.51477849238533,0.461415992792168,0.000302434784684121,0.00044,0.00064
3,994,15.0070422535211,70.3352977887465,0.256059802557618,0.138506150103917,0.953656163703328,0.042319914267453,0.525605980255762,0.428726889930642,0.00145365048900224,0.00929577464788732,0.00849094567404427
4,952,15.5546218487395,126.93707640785,0.373869074145071,0.192407010477052,1.01990772941864,0.0585906513163015,0.537386907414507,0.39438098201153,0.00343415859757188,0.0313865546218487,0.0257983193277311
5,873,18.3837342497136,246.326203011868,0.482852712219088,0.237713475993148,1.08166868213317,0.072935465791254,0.548285271221909,0.367749595552393,0.00427105056133239,0.051729667812142,0.0383046964490264
6,789,23.2648922686945,491.352331872896,0.60274633105988,0.249300220643109,1.14824955463065,0.0775451962753747,0.560274633105988,0.351148426573058,0.00452779850791989,0.0677313054499366,0.0443599493029151
7,717,32.0543933054393,1064.90066852107,0.73423603227447,0.236872572964313,1.22217376538986,0.0731854811282718,0.573423603227447,0.337797467729624,0.00548169703211147,0.0810599721059972,0.0484239888423989
8,661,46.4947049924357,2663.76247192041,0.85200865008546,0.210983836188595,1.28678205668286,0.0661048356093284,0.585200865008546,0.329815102058425,0.00532118239735551,0.0881089258698941,0.0453857791225416
9,629,69.3529411764706,6930.85612588984,0.958214592212121,0.20602409131755,1.3459330562165,0.0633949097700855,0.595821459221212,0.321199111548464,0.00565750592479277,0.0976152623211447,0.0453418124006359
10,610,106.634426229508,19269.0336240545,1.03613216487906,0.208669423372459,1.38808932416464,0.0629100590607133,0.603613216487906,0.313984465726824,0.00597414880252252,0.104524590163934,0.048327868852459
11,590,169.222033898305,53788.7536732756,1.11132412332299,0.207548125260343,1.42932662345328,0.0609013116763097,0.611132412332299,0.310217938371253,0.00596518705815453,0.106101694915254,0.047728813559322
12,580,274.153448275862,157921.615445775,1.18145173663721,0.180091120070608,1.46698427777729,0.0520051059003252,0.618145173663721,0.306207808750857,0.00610409132710195,0.11,0.0473103448275862
13,567,457.428571428571,488149.881373045,1.25494433248711,0.156549850485462,1.50671881662331,0.0431979674009142,0.625494433248711,0.305116053961314,0.0058140078751949,0.110617283950617,0.0439506172839506
14,561,769.016042780749,1512669.17295646,1.31662148058238,0.137473837236614,1.53915556244128,0.0361473729417824,0.631662148058239,0.303077318115294,0.00561586449275565,0.110873440285205,0.0427094474153298
15,557,1305.00718132855,4787541.96037999,1.37204869048336,0.127498511577711,1.56736748560266,0.0323235962502087,0.637204869048336,0.300421896644889,0.00556718333875557,0.112028725314183,0.0423698384201077
