"trial","gen","n","g","z","w","sourcepops","n.pop0","alpha","evolve","block","repct"
1,1,20,-0.67,-0.683080463781157,0.439732015563358,1,20,0,TRUE,1,1
1,2,9,-0.711111111111111,-0.480329272635822,0.529126715897899,1,20,0,TRUE,1,1
1,3,2,-0.5,-0.72476350876387,0.405908975531124,1,20,0,TRUE,1,1
1,4,2,-0.5,-0.750268874824425,0.351601771522556,1,20,0,TRUE,1,1
2,1,100,-0.638,-0.620715001330368,0.455973658378081,1,100,0,TRUE,1,1
2,2,32,-0.575,-0.416669725786193,0.528122001715645,1,100,0,TRUE,1,1
2,3,18,-0.6,-0.749483323583839,0.441977204324734,1,100,0,TRUE,1,1
2,4,11,-0.581818181818182,-0.901217695651451,0.371693571557448,1,100,0,TRUE,1,1
2,5,1,-0.2,0.125587337558156,0.748587588498109,1,100,0,TRUE,1,1
3,1,20,-0.65,-0.457855377389848,0.510865659173825,1,20,0,FALSE,1,1
3,2,5,-0.12,-0.143071610413528,0.639963755877454,1,20,0,FALSE,1,1
3,3,3,-0.0666666666666667,-0.208159584637683,0.666991381102437,1,20,0,FALSE,1,1
4,1,100,-0.8,-0.733425033547847,0.431879527775926,1,100,0,FALSE,1,1
4,2,39,0.102564102564103,-0.0552851491059038,0.764046460929488,1,100,0,FALSE,1,1
4,3,28,-0.135714285714286,-0.104195046516353,0.694943233224194,1,100,0,FALSE,1,1
4,4,10,-0.38,-0.258919119989867,0.621162349238882,1,100,0,FALSE,1,1
4,5,8,-0.125,0.0810567928090807,0.77392101357287,1,100,0,FALSE,1,1
4,6,10,-0.06,-0.162335588072015,0.625273302018027,1,100,0,FALSE,1,1
4,7,6,-0.633333333333333,-0.8406982515977,0.390289084595452,1,100,0,FALSE,1,1
4,8,4,0.3,0.272733777615222,0.85871008250702,1,100,0,FALSE,1,1
4,9,3,0.6,0.55904274965439,1.04048523177103,1,100,0,FALSE,1,1
4,10,4,0.05,0.650786632651072,1.06738506208123,1,100,0,FALSE,1,1
5,1,20,-0.82,-0.936865409293097,0.362930252729272,1,20,0.0035,TRUE,1,1
5,2,5,-0.72,-1.22842725939681,0.285463607986703,1,20,0.0035,TRUE,1,1
5,3,4,-0.85,-0.741427236951958,0.377297940842124,1,20,0.0035,TRUE,1,1
5,4,3,-0.733333333333333,-1.20533776354999,0.300521398097221,1,20,0.0035,TRUE,1,1
6,1,100,-0.744,-0.826238063198407,0.405569531113566,1,100,0.0035,TRUE,1,1
6,2,29,-0.682758620689655,-0.532097151895595,0.522225632791592,1,100,0.0035,TRUE,1,1
6,3,16,-0.6,-0.702259907984124,0.433277440897216,1,100,0.0035,TRUE,1,1
6,4,12,-0.583333333333333,-0.536653427559456,0.544039172567247,1,100,0.0035,TRUE,1,1
6,5,12,-0.466666666666667,-0.392030817830085,0.560250186169664,1,100,0.0035,TRUE,1,1
6,6,16,-0.55,-0.890376011734677,0.404353623910585,1,100,0.0035,TRUE,1,1
6,7,10,-0.58,-0.702803471213512,0.402520575435883,1,100,0.0035,TRUE,1,1
7,1,20,-0.67,-0.731351813840724,0.403978552565341,1,20,0.0035,FALSE,1,1
7,2,11,-0.236363636363636,-0.150270956475043,0.668163311092677,1,20,0.0035,FALSE,1,1
7,3,8,-0.15,-0.482570472228196,0.524117605599835,1,20,0.0035,FALSE,1,1
7,4,1,-1.4,-1.45947809586124,0.162485667086658,1,20,0.0035,FALSE,1,1
8,1,100,-0.67,-0.609543583420031,0.487593215299745,1,100,0.0035,FALSE,1,1
8,2,37,0.00540540540540541,-0.0874335783815959,0.71168924050794,1,100,0.0035,FALSE,1,1
8,3,20,-0.19,-0.240455503302665,0.663706166236629,1,100,0.0035,FALSE,1,1
8,4,22,-0.136363636363636,-0.47534793327945,0.548775420396844,1,100,0.0035,FALSE,1,1
8,5,4,0.15,-0.241546065498971,0.584595806033906,1,100,0.0035,FALSE,1,1
8,6,1,1.6,2.35625252069448,1.95149990188239,1,100,0.0035,FALSE,1,1
9,1,20,-1.3,-1.78145458927705,0.181513489544433,2,20,0,TRUE,2,1
9,2,5,-1.64,-1.37108402556117,0.217746563452824,2,20,0,TRUE,2,1
9,3,5,-1.92,-1.9649070801371,0.111732697115144,2,20,0,TRUE,2,1
9,4,2,-1.6,-1.43799725172636,0.180212844324846,2,20,0,TRUE,2,1
10,1,100,-0.84,-0.698144891716594,0.452732107031791,2,100,0,TRUE,2,1
10,2,43,-0.818604651162791,-0.978533084530089,0.345089737432445,2,100,0,TRUE,2,1
10,3,22,-0.754545454545455,-1.07923956825371,0.311158919821554,2,100,0,TRUE,2,1
