"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
1,1,20,0.2,0.231932346757037,0.847556722722501,20,0,TRUE,0
1,2,19,0.821052631578947,0.790401249538273,1.11783255455272,20,0,TRUE,0
1,3,21,1.14285714285714,1.46156459348429,1.50228198280707,20,0,TRUE,0
1,4,55,1.30545454545455,1.18122075508985,1.32747089725344,20,0,TRUE,0
1,5,63,1.39047619047619,1.39449953628592,1.45525713235542,20,0,TRUE,0
1,6,115,1.43130434782609,1.39530482059606,1.45888798924925,20,0,TRUE,0
1,7,161,1.3055900621118,1.35678873141123,1.43639001268064,20,0,TRUE,0
1,8,241,1.3643153526971,1.3181266783538,1.40972739139557,20,0,TRUE,0
1,9,375,1.4464,1.47250282242812,1.46646972095929,20,0,TRUE,0
1,10,598,1.44816053511706,1.44239853569148,1.46550297625276,20,0,TRUE,0
1,11,861,1.49686411149826,1.48110670933777,1.48764639665444,20,0,TRUE,0
1,12,1154,1.56135181975737,1.58562842611552,1.53569783744709,20,0,TRUE,0
1,13,1796,1.60846325167038,1.60199094929547,1.53188726978492,20,0,TRUE,0
1,14,2714,1.66381724392041,1.66828466097758,1.55592694230152,20,0,TRUE,0
1,15,4355,1.72670493685419,1.73501868593126,1.58672934155937,20,0,TRUE,0
2,1,20,0.05,-0.192387287847964,0.677700741039119,20,0.0035,TRUE,0
2,2,13,0.569230769230769,0.66517400313095,1.07705511610153,20,0.0035,TRUE,0
2,3,24,0.525,0.76784829681606,1.1345750501664,20,0.0035,TRUE,0
2,4,21,0.638095238095238,0.898128193994306,1.19895550633752,20,0.0035,TRUE,0
2,5,19,0.663157894736842,0.624884489110034,1.06016769844563,20,0.0035,TRUE,0
2,6,23,0.443478260869565,0.500937271324907,0.993475501926189,20,0.0035,TRUE,0
2,7,25,0.832,0.519888520484184,1.02244647101097,20,0.0035,TRUE,0
2,8,18,1.18888888888889,1.25816075453423,1.33319271512083,20,0.0035,TRUE,0
2,9,21,1.14285714285714,1.36159042445453,1.42365972278199,20,0.0035,TRUE,0
2,10,38,1.03684210526316,1.10427906313679,1.30885773738846,20,0.0035,TRUE,0
2,11,53,1.09056603773585,1.29489297750303,1.44396379656746,20,0.0035,TRUE,0
2,12,96,1.07708333333333,1.14530069440535,1.34276491304548,20,0.0035,TRUE,0
2,13,88,1.01136363636364,0.983450171477758,1.25211787285337,20,0.0035,TRUE,0
2,14,77,1.01038961038961,1.04469173670424,1.25851124122322,20,0.0035,TRUE,0
2,15,103,1.0368932038835,1.04366976081793,1.2896555597579,20,0.0035,TRUE,0
3,1,20,0.09,0.0813274621415917,0.805381757613064,20,0,FALSE,0
3,2,21,0.142857142857143,0.229765072237929,0.88856016910864,20,0,FALSE,0
3,3,8,0.075,0.0911658274635489,0.764668498931274,20,0,FALSE,0
3,4,11,-0.0181818181818182,-0.0320422049796239,0.750684269507544,20,0,FALSE,0
3,5,10,0.22,0.0410755636650685,0.736441250900487,20,0,FALSE,0
4,1,20,-0.13,-0.0362277371531306,0.755253208236656,20,0.0035,FALSE,0
4,2,29,0.0275862068965517,-0.154327661015541,0.704024024130026,20,0.0035,FALSE,0
4,3,20,-0.26,-0.332505332247341,0.577160559366924,20,0.0035,FALSE,0
4,4,10,0.1,-0.103046585494615,0.74503061803074,20,0.0035,FALSE,0
4,5,11,-0.109090909090909,-0.121225300450975,0.678522595745348,20,0.0035,FALSE,0
4,6,5,-0.08,0.0754262838193336,0.786024380500011,20,0.0035,FALSE,0
5,1,100,0.036,0.0907491245097779,0.794250035082174,100,0,TRUE,0
5,2,65,0.107692307692308,0.0667909543690488,0.821840031627668,100,0,TRUE,0
5,3,52,0.111538461538462,0.0798314064460452,0.783768650813231,100,0,TRUE,0
5,4,49,0.0571428571428571,-0.0817704620264633,0.706518301950829,100,0,TRUE,0
5,5,49,-1.35680157585329e-17,0.0255441142222776,0.766223499648185,100,0,TRUE,0
5,6,43,0.116279069767442,0.205922108135315,0.866658048940855,100,0,TRUE,0
5,7,21,0.0285714285714286,0.0699418793535359,0.755344266151704,100,0,TRUE,0
5,8,25,0.192,0.117952647062613,0.806429872899646,100,0,TRUE,0
5,9,21,0.419047619047619,0.449466242180756,0.988574646975633,100,0,TRUE,0
5,10,17,0.447058823529412,0.433256757577137,0.966542681353489,100,0,TRUE,0
5,11,4,0.05,-0.0295273672632315,0.740437175319091,100,0,TRUE,0
6,1,100,0.012,0.0695802803610062,0.793462397281659,100,0.0035,TRUE,0
6,2,56,0.05,0.0728193875750608,0.809918934520784,100,0.0035,TRUE,0
6,3,43,0.344186046511628,0.075407296421165,0.804633417317383,100,0.0035,TRUE,0
6,4,24,0.658333333333333,0.812807296734757,1.16493022721663,100,0.0035,TRUE,0
6,5,28,0.871428571428571,0.825344268761487,1.17612546619081,100,0.0035,TRUE,0
6,6,25,0.632,0.574113973609134,1.04340627387753,100,0.0035,TRUE,0
6,7,17,0.552941176470588,0.447684014440257,0.966346719111565,100,0.0035,TRUE,0
6,8,13,0.707692307692308,0.766540348543806,1.10614008431893,100,0.0035,TRUE,0
6,9,11,0.745454545454545,0.768404073445336,1.14812761792095,100,0.0035,TRUE,0
6,10,19,0.978947368421053,1.1507640980099,1.28862081017763,100,0.0035,TRUE,0
6,11,28,0.992857142857143,1.05288081676424,1.28697187311167,100,0.0035,TRUE,0
6,12,39,1.08205128205128,0.732396119194373,1.12003182439256,100,0.0035,TRUE,0
6,13,51,1.10588235294118,1.0454635198647,1.29538412764836,100,0.0035,TRUE,0
6,14,81,1.20493827160494,1.19407336946249,1.3593877661791,100,0.0035,TRUE,0
6,15,106,1.23962264150943,1.17918797788756,1.35946321863391,100,0.0035,TRUE,0
7,1,100,0.056,0.0110765880586281,0.786368128084151,100,0,FALSE,0
7,2,81,-0.0320987654320988,-0.0619570557812852,0.72966840694199,100,0,FALSE,0
7,3,64,-0.034375,-0.0131210038588937,0.745999738039578,100,0,FALSE,0
7,4,51,0.27843137254902,0.00393445824751894,0.758012949618983,100,0,FALSE,0
7,5,39,-2.84458723834363e-18,-0.0581212639802922,0.720452907184375,100,0,FALSE,0
7,6,22,0.0363636363636364,0.144712235053166,0.81854994367095,100,0,FALSE,0
7,7,32,0.375,0.163380308050597,0.807578069363759,100,0,FALSE,0
7,8,32,0.01875,-0.0564659698555068,0.719170173279034,100,0,FALSE,0
7,9,26,-0.0461538461538461,-0.0364445099107255,0.738460466825814,100,0,FALSE,0
7,10,12,-0.0333333333333333,-0.261898742894502,0.674226710616652,100,0,FALSE,0
7,11,9,0.111111111111111,0.13209483095609,0.847326128385749,100,0,FALSE,0
7,12,6,-0.166666666666667,0.0710828284775658,0.764495350611584,100,0,FALSE,0
7,13,7,0.142857142857143,0.314776076634199,0.875792593864252,100,0,FALSE,0
7,14,2,0,-0.10879747597494,0.645494977044635,100,0,FALSE,0
7,15,1,-0.4,-0.886785503099149,0.306031558700617,100,0,FALSE,0
8,1,100,0.066,0.179132343631144,0.851176356496394,100,0.0035,FALSE,0
8,2,65,-0.0215384615384615,-0.0540744201414382,0.742928508574934,100,0.0035,FALSE,0
8,3,52,-0.138461538461538,0.0819123307318555,0.782616874182368,100,0.0035,FALSE,0
8,4,38,0.0210526315789474,0.169512122650169,0.830352449114085,100,0.0035,FALSE,0
8,5,23,-0.121739130434783,-0.0498121318238978,0.741610740092319,100,0.0035,FALSE,0
8,6,8,0.2,-0.143220368830397,0.683330286751061,100,0.0035,FALSE,0
8,7,6,-0.0333333333333333,-0.261932947229774,0.769521293720143,100,0.0035,FALSE,0
9,1,20,0.22,0.499916601450151,1.00669946664087,20,0,TRUE,0
9,2,21,0.523809523809524,0.619437716827555,1.06141296659903,20,0,TRUE,0
9,3,21,0.504761904761905,0.60230535913552,1.06012866660322,20,0,TRUE,0
