"trial","gen","sigma.a"
1,1,0.48940625
1,2,0.45751953125
1,3,0.433910034602076
1,4,0.424951171875
1,5,0.39790805785124
1,6,0.395570749108205
1,7,0.390457128099174
1,8,0.388150770512287
1,9,0.38951099537037
1,10,0.385992930185583
1,11,0.381519097222222
1,12,0.378012091316118
1,13,0.378933748842609
1,14,0.377353922929473
1,15,0.376926081730769
2,1,0.48734375
2,2,0.476350415512465
2,3,0.4
2,4,0.361
3,1,0.49215625
3,2,0.43625
3,3,0.4134765625
3,4,0.38046875
3,5,0.304513888888889
3,6,0.21875
4,1,0.48925
4,2,0.471826171875
4,3,0.470068359375
4,4,0.452408854166667
4,5,0.436565096952909
4,6,0.406895661157025
4,7,0.405482041587902
4,8,0.391086685653257
4,9,0.38353515625
4,10,0.382547232131061
4,11,0.38434194214876
4,12,0.377848755900006
4,13,0.375782439446367
4,14,0.375241854188345
4,15,0.374872988411051
5,1,0.4933125
5,2,0.470982986767486
5,3,0.463173469387755
5,4,0.444545118343195
5,5,0.445037615740741
5,6,0.435407395870417
5,7,0.425871602856576
5,8,0.424472866679886
5,9,0.425154010324435
5,10,0.42477808566064
5,11,0.421424465005546
5,12,0.419453968253968
5,13,0.416016855702584
5,14,0.414189221259974
5,15,0.413026153217998
6,1,0.49125
6,2,0.467875
6,3,0.352
6,4,0.31796875
7,1,0.48575
7,2,0.473890532544379
7,3,0.456313775510204
7,4,0.405555555555556
7,5,0.411284722222222
7,6,0.398347107438017
7,7,0.379252958579882
7,8,0.376265625
7,9,0.373499657064472
7,10,0.368017082179132
7,11,0.357779857505132
7,12,0.360485527757487
7,13,0.356747069114601
7,14,0.35698751751203
7,15,0.356894773822676
8,1,0.48965625
8,2,0.441715976331361
8,3,0.425617283950617
8,4,0.4035
8,5,0.386776859504132
8,6,0.3365234375
8,7,0.3375
8,8,0.3425
8,9,0.2125
9,1,0.48665625
9,2,0.457908950617284
9,3,0.4005
9,4,0.390277777777778
10,1,0.48978125
10,2,0.47088
10,3,0.453342013888889
10,4,0.450129757785467
10,5,0.409288194444444
10,6,0.380177514792899
10,7,0.371045918367347
10,8,0.316319444444444
10,9,0.286805555555556
10,10,0.260294117647059
10,11,0.256292517006803
10,12,0.257375
10,13,0.263425925925926
10,14,0.254513888888889
10,15,0.260223765432099
11,1,0.49003125
11,2,0.4
11,3,0.378125
11,4,0.302777777777778
11,5,0.259722222222222
11,6,0.2125
12,1,0.4853125
12,2,0.462333333333333
12,3,0.450195109261186
12,4,0.445061436672968
12,5,0.435884353741497
12,6,0.394529085872576
12,7,0.359809027777778
12,8,0.333333333333333
12,9,0.29375
12,10,0.275
13,1,0.48828125
13,2,0.476903114186851
13,3,0.455694706994329
13,4,0.442549740484429
13,5,0.419912190082645
13,6,0.4218828125
13,7,0.409809750297265
13,8,0.396683673469388
13,9,0.385858912721893
13,10,0.381086005830904
13,11,0.382808233564377
13,12,0.371013871189099
13,13,0.365735946745562
13,14,0.356188313389816
13,15,0.359925277777778
14,1,0.487125
14,2,0.4435546875
14,3,0.425462962962963
14,4,0.3705
14,5,0.3425
14,6,0.322222222222222
14,7,0.3001953125
14,8,0.306585743801653
14,9,0.305880204528853
14,10,0.307863023209681
14,11,0.308230371900826
14,12,0.305513377526949
14,13,0.305615112342259
14,14,0.307776891161998
14,15,0.306667971129439
15,1,0.490375
15,2,0.4755859375
15,3,0.449074074074074
15,4,0.427295918367347
15,5,0.388
15,6,0.35
15,7,0.308940972222222
15,8,0.314699074074074
15,9,0.322916666666667
15,10,0.306952662721894
15,11,0.2837890625
15,12,0.268663194444444
15,13,0.268994140625
15,14,0.265625
15,15,0.265972222222222
16,1,0.484375
16,2,0.472288223140496
16,3,0.445659722222222
16,4,0.4115234375
16,5,0.3865
16,6,0.36146694214876
16,7,0.335714285714286
16,8,0.313520408163265
16,9,0.26875
16,10,0.1875
17,1,0.49234375
17,2,0.463954293628809
17,3,0.440458579881657
17,4,0.413636363636364
17,5,0.311111111111111
17,6,0.1875
18,1,0.4859375
18,2,0.459297520661157
18,3,0.413520408163265
18,4,0.363265306122449
18,5,0.303125
18,6,0.287744140625
18,7,0.279839409722222
18,8,0.283652777777778
18,9,0.280535207939508
18,10,0.274576792859341
18,11,0.272277244456463
18,12,0.26753905047707
18,13,0.265462569159547
18,14,0.265863169280692
18,15,0.26372961219636
19,1,0.48378125
19,2,0.46416015625
19,3,0.420918367346939
19,4,0.392355371900826
19,5,0.396107266435986
19,6,0.382902892561983
19,7,0.357833333333333
19,8,0.363846880907372
19,9,0.358299039780521
19,10,0.348412698412698
19,11,0.34083251953125
19,12,0.344618383742911
19,13,0.34897374260355
19,14,0.348172577854671
19,15,0.347761005228538
20,1,0.48609375
20,2,0.477599243856333
20,3,0.465986394557823
20,4,0.45985107421875
20,5,0.445674740484429
20,6,0.423045267489712
20,7,0.399915450338199
20,8,0.388404296875
20,9,0.38365084754288
