"trial","gen","n","gbar","zbar","wbar","pfem","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var","ext.gen","extinct"
1,1,20,-0.19,-0.0880341815082663,0.670975463806419,0.45,0.24,0.24,0.25535,20,0,TRUE,3,TRUE
1,2,10,-0.04,-0.106483767744806,0.64735906261126,0.5,0.24,0.24,0.2468,20,0,TRUE,3,TRUE
1,3,3,-0.133333333333333,-0.21788771722318,0.590918710325229,0,0.24,0.32,0.171111111111111,20,0,TRUE,3,TRUE
2,1,20,0.03,0.215194146821669,0.818563231776682,0.45,0.24,0.24,0.25555,20,0,TRUE,3,TRUE
2,2,14,-0.0857142857142857,-0.225605001104871,0.620980219425032,0.357142857142857,0.24,0.24,0.238571428571429,20,0,TRUE,3,TRUE
2,3,1,-0.2,-0.364049884639795,0.478535004789478,0,0.36,0.4,0.12,20,0,TRUE,3,TRUE
3,1,20,-0.02,-0.196072860672653,0.635139750930037,0.55,0.24,0.24,0.2565,20,0,TRUE,13,TRUE
3,2,13,0.0923076923076923,0.028687816450738,0.759139032114825,0.692307692307692,0.24,0.24,0.24508875739645,20,0,TRUE,13,TRUE
3,3,13,-4.24506850611632e-18,0.0424217620991608,0.72631546534746,0.769230769230769,0.24,0.24,0.239881656804734,20,0,TRUE,13,TRUE
3,4,21,0.20952380952381,-0.0269820095347741,0.728656041647674,0.619047619047619,0.24,0.24,0.239047619047619,20,0,TRUE,13,TRUE
3,5,22,0.190909090909091,0.00571513712094181,0.721055021826381,0.363636363636364,0.24,0.24,0.230123966942149,20,0,TRUE,13,TRUE
3,6,8,0.15,0.477231280413914,0.951409019744643,0.375,0.24,0.24,0.204375,20,0,TRUE,13,TRUE
3,7,5,0.28,0.879431964888895,1.14569441964736,0.6,0.28,0.24,0.176,20,0,TRUE,13,TRUE
3,8,9,0.466666666666667,0.290250969877851,0.83436298854997,0.666666666666667,0.28,0.24,0.145679012345679,20,0,TRUE,13,TRUE
3,9,10,0.34,0.383733180291596,0.938060098675325,0.4,0.32,0.28,0.1218,20,0,TRUE,13,TRUE
3,10,4,0.6,1.29731444525816,1.41884980516094,0.5,0.44,0.36,0.065,20,0,TRUE,13,TRUE
3,11,8,0.475,0.353297739479204,0.881914320473431,0.25,0.44,0.36,0.0690625,20,0,TRUE,13,TRUE
3,12,3,0.4,0.297889547948504,0.822313478294815,0.333333333333333,0.44,0.4,0.0511111111111111,20,0,TRUE,13,TRUE
3,13,1,0.6,0.242072119289619,0.785396654076533,1,0.56,0.44,0,20,0,TRUE,13,TRUE
4,1,20,0.16,0.230683238626293,0.828664097755918,0.55,0.24,0.24,0.2537,20,0,TRUE,7,TRUE
4,2,19,-0.0105263157894737,0.146530914288812,0.792280673704589,0.578947368421053,0.24,0.24,0.253407202216066,20,0,TRUE,7,TRUE
4,3,16,-0.15,-0.406654340620084,0.525041625156147,0.625,0.24,0.24,0.234375,20,0,TRUE,7,TRUE
4,4,6,-0.233333333333333,-0.029902912446514,0.728306244538911,0.666666666666667,0.24,0.24,0.221666666666667,20,0,TRUE,7,TRUE
4,5,5,-0.16,-0.584541358815102,0.452713244550692,0.4,0.24,0.24,0.212,20,0,TRUE,7,TRUE
4,6,3,0.266666666666667,-0.0965598245463797,0.67462621010193,0.666666666666667,0.36,0.24,0.18,20,0,TRUE,7,TRUE
4,7,1,0.4,0.31535288084098,0.827970882041131,0,0.44,0.36,0.1,20,0,TRUE,7,TRUE
5,1,20,0.11,-0.0971098961051792,0.674999267407041,0.5,0.24,0.24,0.25715,20,0,TRUE,6,TRUE
5,2,15,0.0133333333333333,-0.198180235849339,0.617412623761579,0.666666666666667,0.24,0.24,0.2448,20,0,TRUE,6,TRUE
5,3,18,0.177777777777778,0.278826463213715,0.863856141881123,0.388888888888889,0.24,0.24,0.243456790123457,20,0,TRUE,6,TRUE
5,4,12,0.0666666666666667,-0.166970484971206,0.587365290817619,0.25,0.24,0.24,0.208055555555556,20,0,TRUE,6,TRUE
5,5,3,-0.0666666666666667,-0.336798655337906,0.598536309646557,0.666666666666667,0.24,0.24,0.222222222222222,20,0,TRUE,6,TRUE
5,6,1,0.6,-0.284567118416359,0.513721050864152,1,0.44,0.32,0.12,20,0,TRUE,6,TRUE
6,1,20,-0.08,0.0509867204567001,0.728363984310957,0.55,0.24,0.24,0.2576,20,0,TRUE,6,TRUE
6,2,16,-0.075,-0.404614087030182,0.530452014705735,0.5625,0.24,0.24,0.2471875,20,0,TRUE,6,TRUE
6,3,6,-0.1,-0.213005727547296,0.569976955956981,0.5,0.24,0.24,0.223888888888889,20,0,TRUE,6,TRUE
6,4,3,-0.2,0.415006951356115,0.89996267006046,0.333333333333333,0.28,0.28,0.177777777777778,20,0,TRUE,6,TRUE
6,5,3,-0.266666666666667,-0.817102781511926,0.400995871834378,0.666666666666667,0.32,0.28,0.18,20,0,TRUE,6,TRUE
6,6,1,-0.4,0.568906929374858,0.982196667789308,1,0.36,0.44,0.1,20,0,TRUE,6,TRUE
7,1,20,0.13,0.304637751106796,0.866770453872092,0.5,0.24,0.24,0.25555,20,0,TRUE,7,TRUE
7,2,11,0.2,-0.0824342347868043,0.701329211838674,0.727272727272727,0.24,0.24,0.228760330578512,20,0,TRUE,7,TRUE
7,3,11,0.8,0.726642975737998,1.0901013043936,0.454545454545455,0.24,0.24,0.191570247933884,20,0,TRUE,7,TRUE
7,4,7,0.628571428571429,0.941391709358528,1.20943308118496,0.571428571428571,0.32,0.24,0.148979591836735,20,0,TRUE,7,TRUE
7,5,9,0.666666666666667,0.794353631699863,1.11937531790563,0.555555555555556,0.32,0.24,0.152345679012346,20,0,TRUE,7,TRUE
7,6,8,0.5,-0.242251204783786,0.610140341406543,0.375,0.36,0.24,0.143125,20,0,TRUE,7,TRUE
7,7,3,1.33333333333333,0.710610664022178,1.15198769700871,0.333333333333333,0.48,0.28,0.0866666666666667,20,0,TRUE,7,TRUE
8,1,20,-0.05,0.00194998672644425,0.701480855128082,0.5,0.24,0.24,0.25485,20,0,TRUE,4,TRUE
8,2,10,0.16,-0.296308780075456,0.590647322737297,0.8,0.24,0.24,0.2412,20,0,TRUE,4,TRUE
8,3,9,0.0444444444444444,0.609093013347011,1.01300260243865,0.333333333333333,0.24,0.24,0.216543209876543,20,0,TRUE,4,TRUE
8,4,3,-0.2,0.0968006666536329,0.709492014133918,1,0.32,0.28,0.16,20,0,TRUE,4,TRUE
9,1,20,0.09,0.168270765300202,0.777119063266497,0.5,0.24,0.24,0.24585,20,0,TRUE,5,TRUE
9,2,19,0.136842105263158,0.203998393834608,0.827661731723159,0.263157894736842,0.24,0.24,0.241883656509695,20,0,TRUE,5,TRUE
9,3,9,0.244444444444444,0.52216708169484,0.972095608132506,0.444444444444444,0.24,0.24,0.234074074074074,20,0,TRUE,5,TRUE
9,4,5,-0.04,-0.593774254857546,0.569299922797846,0.6,0.24,0.24,0.2224,20,0,TRUE,5,TRUE
