"n.pop0","gen","nbar","nvar","pext"
20,1,20,0,1
20,2,15.362375,35.8377890830109,0.999875
20,3,12.237625,54.8902706432059,0.98375
20,4,10.282625,69.5029359763726,0.90625
20,5,8.934,87.0417742217813,0.787125
20,6,8.2575,112.119708713596,0.67275
20,7,7.98025,150.134126703332,0.57
20,8,8.224,219.068957619711,0.478
20,9,9.02925,347.270303225381,0.418625
20,10,10.361875,570.89928389489,0.375125
20,11,12.4735,1022.15906763354,0.34475
20,12,15.440125,1876.62599323346,0.316875
20,13,19.802875,3675.80249204611,0.299125
20,14,26.326375,7600.12737028013,0.28225
20,15,35.636,16196.1152684074,0.271625
60,1,60,0,1
60,2,46.5305,110.75341392674,1
60,3,36.937375,160.913067242781,1
60,4,30.906875,205.499890220652,0.999625
60,5,27.163625,252.905465042504,0.994875
60,6,24.812125,317.879062867231,0.977125
60,7,24.01525,415.220419990001,0.943125
60,8,24.3715,584.093749468679,0.89275
60,9,25.71275,855.301400112501,0.840375
60,10,28.2935,1310.23238679837,0.788875
60,11,32.3125,2112.44839979998,0.741
60,12,38.112375,3596.23227589398,0.702625
60,13,46.371375,6361.90594385243,0.670625
60,14,58.133875,11684.8088035843,0.642125
60,15,75.197625,22704.9801918824,0.62
