"n.pop0","gen","nbar","nvar","pext"
20,1,20,0,1
20,2,14.42625,32.1375781347672,1
20,3,11.402625,48.5913420271294,0.982125
20,4,9.672625,64.1574702931622,0.89175
20,5,9.00475,90.2360069383693,0.770125
20,6,8.908375,130.010231138273,0.656625
20,7,9.344625,187.518798459198,0.56325
20,8,10.2335,270.668311288912,0.4985
20,9,11.504125,388.703820962019,0.452625
20,10,13.22525,546.718602262749,0.422625
20,11,15.119,744.121104138055,0.397125
20,12,17.136375,961.814753703631,0.38
20,13,19.431375,1220.72413112569,0.36675
20,14,21.68525,1476.76127759713,0.356625
20,15,23.84075,1732.16290980124,0.34975
60,1,60,0,1
60,2,37.620125,78.9416876953371,1
60,3,27.5515,97.2487538442298,1
60,4,22.51275,121.352006438305,0.99825
60,5,20.019375,152.779597059007,0.9835
60,6,19.03175,197.818469246156,0.948125
60,7,19.0845,265.209010876358,0.891875
60,8,20.0145,358.304827853481,0.840625
60,9,21.75475,485.312516502046,0.7895
60,10,24.119875,667.637709698075,0.7495
60,11,26.905375,883.074555428829,0.7165
60,12,30.239,1133.65933641706,0.68925
60,13,34.038125,1447.6971336261,0.66725
60,14,37.8515,1748.47825753222,0.651875
60,15,41.8375,2087.32200900122,0.637
