"n.pop0","gen","ext.gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
20,1,2,0,0,0.487064743589744,1.17835785048285e-05,78
20,1,3,0,0,0.487463125,1.23346861285266e-05,320
20,1,4,0,0,0.48738326446281,1.31281976027925e-05,484
20,1,5,0,0,0.487631876332623,1.16746815145882e-05,469
20,1,6,0,0,0.487674624624625,1.14333526448135e-05,333
20,1,7,0,0,0.487398859315589,1.28319070908194e-05,263
20,1,8,0,0,0.48727538071066,1.22827964104424e-05,197
20,1,9,0,0,0.487754166666667,1.1262587535014e-05,120
20,1,10,0,0,0.487681052631579,9.70389249720044e-06,95
20,1,11,0,0,0.487901219512195,1.3722591087022e-05,82
20,1,12,0,0,0.487866949152542,9.28781122150789e-06,59
20,1,13,0,0,0.487666666666667,7.5813596491228e-06,39
20,1,14,0,0,0.487031034482759,1.39509667487684e-05,29
20,1,15,0,0,0.487484895712181,1.1471059548612e-05,1433
20,2,2,0.0328205128205128,0.0394871794871795,0.406402841446005,0.00359591905474281,78
20,2,3,0.003125,0.002125,0.445804902174836,0.000534171737790937,320
20,2,4,0.0012396694214876,0.00132231404958678,0.454094513670677,0.000432687007086994,484
20,2,5,0.00119402985074627,0.00119402985074627,0.456977170049516,0.000386876512219458,469
20,2,6,0.000600600600600601,0.00024024024024024,0.457983559259921,0.000323623341849124,333
20,2,7,0.00106463878326996,0.000608365019011407,0.458586022025564,0.000291159633585006,263
20,2,8,0.000406091370558376,0.000203045685279188,0.46096567894838,0.00023385640545331,197
20,2,9,0,0.000333333333333333,0.459491482497184,0.000212774433538973,120
20,2,10,0.000421052631578947,0,0.460708899394271,0.000226773660277433,95
20,2,11,0,0,0.461130988832017,0.000236710500337634,82
20,2,12,0,0,0.462565692470415,0.000136315074043701,59
20,2,13,0,0,0.459603869456534,0.000208386505757968,39
20,2,14,0,0,0.463564765370858,0.000149708748332235,29
20,2,15,0.000195530726256983,0.000195530726256983,0.459889761707925,0.000253386944785505,1432
20,3,3,0.104125,0.105875,0.337800531203442,0.00496985231970262,320
20,3,4,0.0293388429752066,0.0281818181818182,0.395086653928197,0.00224901305036879,484
20,3,5,0.0133901918976546,0.0113432835820896,0.415004263575651,0.0014474880822893,469
20,3,6,0.0117717717717718,0.00840840840840841,0.419255969707784,0.00115711395474439,333
20,3,7,0.00775665399239544,0.00623574144486692,0.424502028652592,0.000993912692919271,263
20,3,8,0.00812182741116751,0.00406091370558376,0.425648706958858,0.00103438156991652,197
20,3,9,0.00466666666666667,0.00433333333333333,0.428820044154998,0.000799527584740807,120
20,3,10,0.00631578947368421,0.00252631578947368,0.429381083163483,0.000869332741176924,95
20,3,11,0.00341463414634146,0.00146341463414634,0.42900802888563,0.000816699353438523,82
20,3,12,0.00542372881355932,0.00203389830508475,0.435666748199245,0.00060160445627459,59
20,3,13,0.00102564102564103,0,0.430736263878849,0.000774178230801359,39
