"bottleneck","n.pop0","gen","p.fix.pos","p.fix.neg","vbar","vvar"
FALSE,20,1,0,0,0.487534307440925,1.20058287696756e-05
FALSE,20,2,0.000784313725490196,0.000824534942182001,0.459685591495037,0.000334126448271175
FALSE,20,3,0.0132892057026477,0.0116293279022403,0.422772931175923,0.00179836707684897
FALSE,20,4,0.0366079653210512,0.0275480899485234,0.38785687186825,0.00334023851617676
FALSE,20,5,0.060442054958184,0.041194743130227,0.36109821870375,0.00422963325436261
FALSE,20,6,0.0833377308707124,0.0520976253298153,0.339322302359955,0.00488448082892304
FALSE,20,7,0.100382352941176,0.0581617647058824,0.32323782756357,0.00528537348292661
FALSE,20,8,0.11515443241075,0.0615162454873646,0.310209979202004,0.00524644340612206
FALSE,20,9,0.129040034438226,0.0647094274644856,0.299058134420959,0.0054937499986304
FALSE,20,10,0.141910828025478,0.0679708826205642,0.289606355899284,0.00580828834471396
FALSE,20,11,0.150299003322259,0.0699952539155197,0.282836593891609,0.00581223452251284
FALSE,20,12,0.157335964479526,0.069166255550074,0.277709549131633,0.00578592731015951
FALSE,20,13,0.162094560244026,0.0683070665988815,0.274113144885103,0.00561855336468108
FALSE,20,14,0.169289392378991,0.0694129763130793,0.268931695182057,0.00564757108027681
FALSE,20,15,0.175222164140094,0.0700052273915316,0.264974421122122,0.00559923072579526
FALSE,100,1,0,0,0.497510940910234,4.83293002795249e-07
FALSE,100,2,0,0,0.490745897417609,8.21882017910447e-06
FALSE,100,3,0,0,0.48016837544354,4.31560901810888e-05
FALSE,100,4,5.02891626854413e-05,4.0231330148353e-05,0.466531308221619,0.000151893116049986
FALSE,100,5,0.000975855130784708,0.000663983903420523,0.449925336366119,0.000442142275528989
FALSE,100,6,0.00565952080706179,0.00322824716267339,0.432043994946545,0.00104360262289953
FALSE,100,7,0.0118929936305732,0.00651210191082803,0.414785953926324,0.00161149901846207
FALSE,100,8,0.0203732503888025,0.0101710730948678,0.398851870147423,0.0021938041229434
FALSE,100,9,0.0291746031746032,0.0137566137566138,0.385252585761254,0.00278735059390558
FALSE,100,10,0.0374291115311909,0.0165379422090197,0.37362080301523,0.003058598961516
FALSE,100,11,0.0443389456251725,0.0179519735026221,0.363928207135231,0.00322770924636514
FALSE,100,12,0.0517567946203418,0.0195236760997478,0.354902925384121,0.0034702873508908
FALSE,100,13,0.0566619115549215,0.0196176890156919,0.348477336677921,0.00347275175246399
FALSE,100,14,0.0617215482380127,0.0207972270363951,0.341830986105277,0.00359732046876462
FALSE,100,15,0.0672875436554133,0.0218393480791618,0.335821596592284,0.00367316722935065
TRUE,20,1,0.0955857214680744,0.08,0.309787461161388,0.00152649410700006
TRUE,20,2,0.114107591754651,0.098562091503268,0.29226580679267,0.00173129071958288
TRUE,20,3,0.147001023541453,0.128004094165814,0.269320544101384,0.00246974775010606
TRUE,20,4,0.180311111111111,0.151866666666667,0.247984385798725,0.00324893861720151
TRUE,20,5,0.204927718416091,0.162388434946574,0.232723963325169,0.00346082899014025
TRUE,20,6,0.226629015178256,0.168895164136957,0.220081790557863,0.00364329465985744
TRUE,20,7,0.244226355362089,0.172362485160269,0.210373001160692,0.00378173192163663
TRUE,20,8,0.258058336961254,0.174366565084893,0.202700558813555,0.00393586983996755
TRUE,20,9,0.268307402168788,0.174559170202735,0.1968348479312,0.00406641162462496
TRUE,20,10,0.275782038345106,0.173683148335015,0.192543468626802,0.00399246425767096
TRUE,20,11,0.283436499466382,0.171824973319104,0.189580896889809,0.00399780540328674
TRUE,20,12,0.289331122166943,0.172581536760641,0.185760243837118,0.00399569726071996
TRUE,20,13,0.295105533371363,0.171637193382772,0.18340033211185,0.00392483575116559
TRUE,20,14,0.301221640488656,0.172658522396742,0.179911827375124,0.00395728174603395
TRUE,20,15,0.30603550295858,0.173183431952663,0.177083619351953,0.00392744109213743
TRUE,100,1,0.0877042997234096,0.0720744279607745,0.316087636409354,0.00150687779153678
TRUE,100,2,0.090942921800352,0.0751722403821976,0.312040418292962,0.00151062759936884
TRUE,100,3,0.0966155393512698,0.0802615036459643,0.30544251818227,0.00155645251859432
TRUE,100,4,0.107562264150943,0.088885534591195,0.295669491577317,0.0017198564805062
TRUE,100,5,0.123699011907778,0.0998429186724094,0.283683420522809,0.00204566533362491
TRUE,100,6,0.14361333677953,0.112235719824244,0.270613537804952,0.00270192369984775
TRUE,100,7,0.160406852248394,0.120738758029979,0.259610296452758,0.00310159507242777
TRUE,100,8,0.174503516174402,0.125490857946554,0.251396226742355,0.0033277043357995
TRUE,100,9,0.186533018867925,0.129658018867925,0.24403054433311,0.00360342067028511
TRUE,100,10,0.196885195444752,0.131178824253616,0.238126605523714,0.003675218402554
TRUE,100,11,0.205730769230769,0.132551282051282,0.233019902961393,0.00375703468786125
TRUE,100,12,0.213982770046388,0.133187541418158,0.227865101157102,0.00384259298268502
TRUE,100,13,0.220850629465805,0.133814222524668,0.223519049817911,0.00385795449717901
TRUE,100,14,0.226931382793452,0.13443399512365,0.219580073924347,0.00384945848301251
TRUE,100,15,0.233553425630103,0.134909478168264,0.2159124483198,0.00387795748084087
