"trial","gen","n","gbar","zbar","wbar","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var","ext.gen","extinct"
1,1,20,0.07,-0.0481905449100412,0.766787337724811,0,0,0.48855,20,0,FALSE,15,FALSE
1,2,18,0.244444444444444,-0.0868432690779702,0.72072669238592,0,0,0.481851851851852,20,0,FALSE,15,FALSE
1,3,15,0.293333333333333,0.459957054745313,0.973470616839726,0,0,0.467822222222222,20,0,FALSE,15,FALSE
1,4,16,0.0625,0.147519197210306,0.85142675188588,0,0,0.421640625,20,0,FALSE,15,FALSE
1,5,19,-0.0421052631578947,0.0942394701494388,0.825991869507258,0,0,0.396509695290859,20,0,FALSE,15,FALSE
1,6,27,-0.0518518518518519,-0.23834525823304,0.654498577429077,0.04,0,0.376954732510288,20,0,FALSE,15,FALSE
1,7,8,0.425,0.536120328245535,1.02767349644717,0.08,0,0.3453125,20,0,FALSE,15,FALSE
1,8,13,0.769230769230769,0.228540723214168,0.90495774188576,0.12,0,0.324378698224852,20,0,FALSE,15,FALSE
1,9,11,0.745454545454545,1.03350305402628,1.2777416385644,0.16,0.04,0.323636363636364,20,0,FALSE,15,FALSE
1,10,15,0.946666666666667,1.0183668739206,1.26160948369853,0.16,0.04,0.327288888888889,20,0,FALSE,15,FALSE
1,11,26,0.946153846153846,0.81110517151476,1.20422192046558,0.2,0.04,0.312455621301775,20,0,FALSE,15,FALSE
1,12,27,1.02962962962963,1.04849567393913,1.31862827502948,0.2,0.04,0.301289437585734,20,0,FALSE,15,FALSE
1,13,49,1.20816326530612,1.2447080064487,1.38390935234116,0.2,0.04,0.301016243231987,20,0,FALSE,15,FALSE
1,14,86,1.3093023255814,1.39648218065598,1.48274471774612,0.2,0.04,0.292723093564089,20,0,FALSE,15,FALSE
1,15,154,1.28701298701299,1.31514171102841,1.44174278649031,0.2,0.04,0.296477483555406,20,0,FALSE,15,FALSE
2,1,20,-0.07,-0.290831233449467,0.646173722296674,0,0,0.49175,20,0,FALSE,3,TRUE
2,2,10,0.04,-0.0997621373026677,0.763269706027637,0,0,0.4712,20,0,FALSE,3,TRUE
2,3,1,0.2,0.871640584206077,1.22041920120868,0.24,0.2,0.28,20,0,FALSE,3,TRUE
3,1,20,0.12,0.161942371712139,0.830321750691077,0,0,0.4869,20,0,FALSE,4,TRUE
3,2,19,0.231578947368421,0.42861685297226,1.02247404524193,0,0,0.46786703601108,20,0,FALSE,4,TRUE
