"gen","n","alpha","n.pop0","lowvar","sig.e","trial"
0,20,0,20,TRUE,0.5,1
1,12,0,20,TRUE,0.5,1
2,10,0,20,TRUE,0.5,1
3,3,0,20,TRUE,0.5,1
4,2,0,20,TRUE,0.5,1
5,6,0,20,TRUE,0.5,1
6,8,0,20,TRUE,0.5,1
7,14,0,20,TRUE,0.5,1
8,14,0,20,TRUE,0.5,1
9,20,0,20,TRUE,0.5,1
10,39,0,20,TRUE,0.5,1
11,56,0,20,TRUE,0.5,1
12,67,0,20,TRUE,0.5,1
13,109,0,20,TRUE,0.5,1
14,131,0,20,TRUE,0.5,1
15,221,0,20,TRUE,0.5,1
0,20,0.0035,20,TRUE,0.5,2
1,14,0.0035,20,TRUE,0.5,2
2,15,0.0035,20,TRUE,0.5,2
3,5,0.0035,20,TRUE,0.5,2
4,1,0.0035,20,TRUE,0.5,2
0,100,0,100,TRUE,0.5,3
1,58,0,100,TRUE,0.5,3
2,31,0,100,TRUE,0.5,3
3,22,0,100,TRUE,0.5,3
4,15,0,100,TRUE,0.5,3
5,5,0,100,TRUE,0.5,3
6,3,0,100,TRUE,0.5,3
7,1,0,100,TRUE,0.5,3
0,100,0.0035,100,TRUE,0.5,4
1,47,0.0035,100,TRUE,0.5,4
2,22,0.0035,100,TRUE,0.5,4
3,16,0.0035,100,TRUE,0.5,4
4,10,0.0035,100,TRUE,0.5,4
5,2,0.0035,100,TRUE,0.5,4
0,20,0,20,FALSE,0.5,5
1,7,0,20,FALSE,0.5,5
2,2,0,20,FALSE,0.5,5
3,2,0,20,FALSE,0.5,5
0,20,0.0035,20,FALSE,0.5,6
1,12,0.0035,20,FALSE,0.5,6
2,18,0.0035,20,FALSE,0.5,6
3,11,0.0035,20,FALSE,0.5,6
4,12,0.0035,20,FALSE,0.5,6
5,10,0.0035,20,FALSE,0.5,6
6,9,0.0035,20,FALSE,0.5,6
7,8,0.0035,20,FALSE,0.5,6
8,11,0.0035,20,FALSE,0.5,6
9,18,0.0035,20,FALSE,0.5,6
10,12,0.0035,20,FALSE,0.5,6
11,21,0.0035,20,FALSE,0.5,6
12,32,0.0035,20,FALSE,0.5,6
13,36,0.0035,20,FALSE,0.5,6
14,52,0.0035,20,FALSE,0.5,6
15,63,0.0035,20,FALSE,0.5,6
0,100,0,100,FALSE,0.5,7
1,78,0,100,FALSE,0.5,7
2,58,0,100,FALSE,0.5,7
3,47,0,100,FALSE,0.5,7
4,44,0,100,FALSE,0.5,7
5,31,0,100,FALSE,0.5,7
6,21,0,100,FALSE,0.5,7
7,11,0,100,FALSE,0.5,7
8,9,0,100,FALSE,0.5,7
9,10,0,100,FALSE,0.5,7
10,11,0,100,FALSE,0.5,7
11,23,0,100,FALSE,0.5,7
12,28,0,100,FALSE,0.5,7
13,43,0,100,FALSE,0.5,7
14,58,0,100,FALSE,0.5,7
15,71,0,100,FALSE,0.5,7
0,100,0.0035,100,FALSE,0.5,8
1,51,0.0035,100,FALSE,0.5,8
2,40,0.0035,100,FALSE,0.5,8
3,24,0.0035,100,FALSE,0.5,8
4,27,0.0035,100,FALSE,0.5,8
5,36,0.0035,100,FALSE,0.5,8
6,35,0.0035,100,FALSE,0.5,8
7,50,0.0035,100,FALSE,0.5,8
8,78,0.0035,100,FALSE,0.5,8
