"n.pop0","gen","nbar","nvar","pext"
20,1,20,0,1
20,2,14.166,30.4644827068918,0.999916666666667
20,3,11.16,46.4642720226693,0.979416666666667
20,4,9.50541666666667,63.7797856418552,0.889666666666667
20,5,8.84258333333333,90.7783681904017,0.771083333333333
20,6,8.84133333333333,132.324851959895,0.655583333333333
20,7,9.39175,195.713258042335,0.566166666666667
20,8,10.567,299.830163513653,0.502083333333333
20,9,12.2254166666667,444.020772390751,0.45525
20,10,14.2931666666667,639.955049559713,0.423416666666667
20,11,16.723,887.219372614385,0.39925
20,12,19.4494166666667,1183.7440866671,0.383083333333333
20,13,22.1715833333333,1491.13073672099,0.371166666666667
20,14,25.05875,1842.67635480074,0.363083333333333
20,15,27.7274166666667,2174.61249936792,0.355916666666667
60,1,60,0,1
60,2,36.80125,74.265270543379,1
60,3,26.8315,95.2452115176196,1
60,4,22.0053333333333,117.420589938052,0.9975
60,5,19.6128333333333,149.878758535434,0.982666666666667
60,6,18.8804166666667,203.307725470176,0.947083333333333
60,7,19.3776666666667,285.553664027567,0.892333333333333
60,8,20.7683333333333,407.240267244494,0.834833333333333
60,9,22.8903333333333,568.269662360734,0.784666666666667
60,10,25.7859166666667,786.452289350484,0.74475
60,11,29.3911666666667,1054.40102205732,0.713583333333333
60,12,33.5290833333333,1372.9609009014,0.687833333333333
60,13,37.88825,1728.12010527967,0.66975
60,14,42.7240833333333,2135.21055420597,0.654083333333333
60,15,47.1648333333333,2499.56279353866,0.64225
