"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
1,1,20,0.32,0.306919536218843,0.890161524334146,20,0,TRUE,1
1,2,16,0.15,0.197176509478941,0.833508575139623,20,0,TRUE,1
1,3,8,0.5,0.800884756401303,1.18259773635608,20,0,TRUE,1
1,4,21,0.4,0.236267212890022,0.865470550753602,20,0,TRUE,1
1,5,23,0.373913043478261,0.27186648912683,0.883223931444894,20,0,TRUE,1
1,6,17,0.105882352941176,0.212315901663708,0.853871873899087,20,0,TRUE,1
1,7,8,0.325,0.25488769723182,0.846404957543432,20,0,TRUE,1
1,8,1,0.4,-0.312555737404588,0.526516357317508,20,0,TRUE,1
2,1,20,0.32,0.343897720216709,0.928775234532184,100,0,TRUE,1
2,2,11,0.309090909090909,0.165449269007878,0.844788664933899,100,0,TRUE,1
2,3,5,0.68,0.257768333024109,0.864322379894422,100,0,TRUE,1
2,4,4,0.6,0.0464454745025101,0.756362019200566,100,0,TRUE,1
2,5,4,0.75,0.199941795965743,0.804304909014842,100,0,TRUE,1
3,1,20,0.32,0.236510029875627,0.853032041550269,20,0.0035,TRUE,1
3,2,20,0.05,0.132413142068733,0.795315665247246,20,0.0035,TRUE,1
3,3,22,-0.2,-0.162678245703003,0.684252839097101,20,0.0035,TRUE,1
3,4,10,-0.42,-0.206311119464085,0.636014447353334,20,0.0035,TRUE,1
3,5,7,-0.0285714285714286,0.574909600748943,1.02491399059595,20,0.0035,TRUE,1
3,6,8,6.93889390390723e-18,0.204667246540127,0.832259779365066,20,0.0035,TRUE,1
3,7,1,0.4,-0.240067442478338,0.560155276055487,20,0.0035,TRUE,1
4,1,20,0.32,0.118036181138812,0.780265503939669,100,0.0035,TRUE,1
4,2,18,-0.0777777777777778,0.115934660315224,0.791270830265272,100,0.0035,TRUE,1
4,3,22,-0.254545454545455,-0.00333633578237128,0.763008370694945,100,0.0035,TRUE,1
4,4,18,-0.0222222222222222,0.0856680086586031,0.775749910643537,100,0.0035,TRUE,1
4,5,15,0.2,0.258494722387816,0.877759423054253,100,0.0035,TRUE,1
4,6,14,0.128571428571429,0.344331427563989,0.916985738354063,100,0.0035,TRUE,1
4,7,17,0.0235294117647059,0.15059580517388,0.85099334594736,100,0.0035,TRUE,1
4,8,15,0.0266666666666667,0.0895803462830968,0.823471592473507,100,0.0035,TRUE,1
4,9,20,-0.09,-0.216508652721685,0.64821212050186,100,0.0035,TRUE,1
4,10,15,-0.253333333333333,-0.304849224770905,0.611186825689545,100,0.0035,TRUE,1
4,11,16,-0.15,-0.0557470768050325,0.727152553739522,100,0.0035,TRUE,1
4,12,9,0.333333333333333,0.251810631956715,0.908836206395672,100,0.0035,TRUE,1
4,13,12,-0.0666666666666667,-0.142050260988591,0.70469199613308,100,0.0035,TRUE,1
4,14,9,-0.644444444444444,-0.885351769286711,0.351796742295944,100,0.0035,TRUE,1
4,15,3,-0.533333333333333,-1.09109099077776,0.255007375723216,100,0.0035,TRUE,1
5,1,20,0.32,0.405947627059213,0.94583988889632,20,0,FALSE,1
5,2,21,-0.142857142857143,-0.239142417914664,0.603156296410198,20,0,FALSE,1
5,3,12,-0.116666666666667,-0.0735787659960917,0.716635431711789,20,0,FALSE,1
5,4,14,0.242857142857143,0.24453327814023,0.849291526438663,20,0,FALSE,1
5,5,10,-0.1,0.287905258603518,0.882151237562528,20,0,FALSE,1
5,6,11,0.0545454545454545,-0.0100178930732497,0.746974668679139,20,0,FALSE,1
5,7,10,-0.04,-0.247779478032851,0.573663968830313,20,0,FALSE,1
5,8,6,-0.333333333333333,-0.369112595680405,0.599516638744787,20,0,FALSE,1
5,9,4,-0.2,-0.411106024729793,0.517911527861121,20,0,FALSE,1
5,10,4,0.1,0.253059215446616,0.853160659709738,20,0,FALSE,1
5,11,1,-0.8,-1.83284963774162,0.102348483969232,20,0,FALSE,1
6,1,20,0.32,0.14165373097371,0.796213317729544,100,0,FALSE,1
6,2,17,-0.105882352941176,-0.142660371260659,0.699049573104961,100,0,FALSE,1
6,3,11,0.545454545454545,0.344817449845271,0.902753144578745,100,0,FALSE,1
6,4,18,-0.244444444444444,-0.331155864498394,0.626558015328366,100,0,FALSE,1
6,5,11,0.0727272727272727,0.0133726292146444,0.823450645649505,100,0,FALSE,1
6,6,2,-0.1,-0.309309957372051,0.528028301425891,100,0,FALSE,1
7,1,20,0.32,0.429459517065679,0.974773012014245,20,0.0035,FALSE,1
7,2,12,0.433333333333333,-0.0485317719921933,0.723339199309389,20,0.0035,FALSE,1
7,3,19,0.421052631578947,0.386338508698116,0.934576237382407,20,0.0035,FALSE,1
7,4,10,0.38,0.412313512920736,0.962508589843672,20,0.0035,FALSE,1
7,5,10,0.42,0.227232193178893,0.847390103222305,20,0.0035,FALSE,1
7,6,10,0.42,0.589116250045512,1.0366488642538,20,0.0035,FALSE,1
7,7,7,0.342857142857143,0.296817588131785,0.866411255511472,20,0.0035,FALSE,1
